
ARPANET	ˈɑɹ.pəˌnɛt
counteractor	ˌkaʊntɚˈæktɚ
countermand	ˌkaʊntəˈmɑːnd
counterstroke	ˈkaʊntəstɹəʊk
countless	ˈkaʊntləs
counts	kaʊnts
couped	kuːpt
courageous	kəˈɹeɪdʒəs
courteous	ˈkɝti.əs
couscous	ˈkuːs.kuːs
cove	koʊv
coverage	ˈkʌv.əɹ.ɪdʒ
covid	ˈkʌvɪd
coward	ˈkaʊəd
cower	ˈkaʊɚ
cows	kaʊz
craber	ˈkɹeɪbə(ɹ)
crackling	ˈkɹæk(ə)lɪŋ
craftspersonship	ˈkɹæftspɜːsənʃɪp
crake	ˈkɹeɪk
crane	kɹeɪn
cranky	ˈkɹæŋki
crappy	ˈkɹæpi
crater	ˈkɹeɪ.tə(ɹ)
craw	kɹɔː
creaker	kɹiːkə
crease	kɹiːs
creative	kɹiˈeɪtɪv
creditable	ˈkɹɛdɪtəbəl
creek	kɹiːk
creetur	ˈkɹi.təɹ
crenarchaeote	kɹɪˈnɑː(ɹ)ki.əʊt
creolize	ˈkɹiːəlaɪz
crescent	z
crewel	ˈkɹuːl
cribellum	kɹɪˈbɛləm
cricoarytenoid	ˌkɹʌɪ.kəʊ.a.ɹɪˈtiː.nɔɪd
crime	kɹaɪm
criminently	ˈkɹɪmɪnəntli
crinch	kɹɪnt͡ʃ
cringy	ˈkɹɪndʒi
crisp	kɹɪsp
crit	kɹɪt
critique	kɹɪˈtiːk
crocus	ˈkɹəʊ.kəs
croker	ˈkɹəʊkə(ɹ)
crook	kɹʊk
croquette	kɹoʊˈkɛt
crossbones	ˈkɹɒsbəʊnz
crosswordese	ˌkɹɒswɜː(ɹ)ˈdiːz
crowding	ˈkɹaʊdɪŋ
crucify	ˈkɹuːsɪfaɪ
crudités	ˈkɹuːdɪteɪ
cruise	kɹuːz
crummy	ˈkɹʌmi
crup	kɹʌp
crust	kɹʌst
crux gammata	kɹuks ɡamˈmaːta
cryovolcanic	ˈkɹʌɪəʊvɒlˈkanɪk
cryptography	kɹɪpˈtɒɡ.ɹə.fi
cryptozoological	ˌkɹɪptoʊˌzoʊəˈlɒdʒɪkəl
crèche	kɹeɪʃ
cubism	ˈkjuː.bɪz.əm
cucullated	ˈkjuːkəleɪtɪd
cuddle	ˈkʌd.l̩
cuffed	kʌft
cuissard	kwisɑɹ(d)
cull	kʌl
culminate	ˈkʌl.mɪnˌeɪt
cultigen	ˈkʌltɪdʒən
culturicidal	kʌlˈt͡ʃʊəɹɪˌsaɪdəl
cumbucket	ˈkʰʌmbʌkɪt
cumslut	ˈkʌmslət
cunnilingual	kʌnɪˈlɪŋɡwəl
cuntsucker	ˈkʌntsʌkə
cupel	ˈkjuːpəl
cupset	ˈkʌpsɛt
curation	kjʊˈɹeɪʃən
cure-all	ˈkjʊəɹɔːl
curiouser and curiouser	ˈkjɔː-
curly cuh	ˈkɜːli kə
currente calamo	kəˈɹɛnteɪ ˈkaləməʊ
cursed	kɜːst
curtain	ˈkɜːtn̩
curvet	kɜːˈvɛt
cushy number	ˌkʊʃi ˈnʌmbə
custom	ˈkʌstəm
cute	kjuːt
cutty	ˈkʌti
cy pres	siː.pɹeɪ
cyber-	ˈsaɪbə
cycad	ˈsaɪkæd
cyclizine	ˈsaɪ.klɪˌzin
cyclophosphamide	ˌsʌɪ.kləʊˈfɒs.fə.mʌɪd
cyma inversa	ˈsaɪmə ɪnˈvɜːsə
cyme	saɪm
cynic	ˈsɪnɪk
cyte	saɪt
cytoplasm	ˈsaɪtəʊˌplæzəm
d&#039;aw	dɔː
da bomb	dəˈbɒm
dabigatran etexilate	dəˌbɪɡ.əˌtɹæn ɪˈtɛk.sɪˌleɪt
dacha	ˈdætʃə
dactyliomancy	dækˈtɪlɪəʊmænsi
daddy longlegs	ˈdædɪ ˈlɒŋ(ɡ)leɡz
dadvice	dədˈvaɪs
daemonize	ˈdiːmənaɪz
daffish	ˈdæfɪʃ
dagnabbit	ˌdæɡˈnæbɪt
daimyo	ˈdaɪ.mjəʊ
dale	deɪl
daming	ˈdeɪmɪŋ
damnify	ˈdæmnɪfaɪ
damsel	ˈdæmzəl
danceaholic	ˌdænsəˈhɔlɪk
dandruff	ˈdændɹʊf
daniel	ˈdanjəl
dapsone	ˈdap.səʊn
darkling	ˈdɑː(ɹ)klɪŋ
dartos	ˈdɑɹ.təs
dasein	dɑː.zʌɪn
dastard	ˈdæstəd
dated	ˈdeɪtɪd
daughtercard	ˈdɔːtəkɑː(ɹ)d
daybeam	ˈdeɪˌbiːm
dazedness	ˈdeɪzədnəs
de bonis non administratis	deɪˌbəʊnɪsnɒnədmɪnɪˈstɹɑːtɪs
de novo	dəˈnəʊvəʊ
de-escalation	diːˌɛskəˈleɪʃən
deaconess	ˌdiːkəˈnes
deaden	ˈdɛdən
deadpan	ˈdɛdpæn
deafeningly	ˈdɛfənɪŋ(ɡ)li
dealkylate	diːˈæɫkɪleɪt
deaminase	diːˈæmɪneɪz
dear	dɪɹ
dearomatization	diːəˌɹəʊmətaɪˈzeɪʃən
deathwatch	ˈdɛθwɒtʃ
debark	dɪˈbɑːk
debate	dɪˈbeɪt
debaucher	dɪˈbɔːtʃə(ɹ)
debenzylation	diːˌbɛnzɪˈleɪʃən
debituminize	diːˈbɪtjəmɪnaɪz
debone	diːˈbəʊn
debouncer	diːˈbaʊnsə(ɹ)
debriefing	diːˈbɹiːfɪŋ
debuff	diːˈbʊf
debunkable	diːˈbʊŋkəbəɫ
debutante	ˌdeɪbjuːˈtɑːnt
decade	dəˈkeɪd
decagon	ˈdɛ.kə.ɡɑn
decalcification	diːˌkæɫsɪfɪˈkeɪʃən
decalumen	ˈdɛkəluːmɪn
decamine	ˈdɛkəmiːn
decanormal	ˌdɛkəˈnɔːməɫ
decapeptide	dɛkəˈpɛptaɪd
decaprenyl	dɛkəˈpɹiːnaɪɫ
decarboxylation	diːkɑːbɒksɪˈleɪʃən
decatenation	diːkætəˈneɪʃən
decease	dɪˈsiːs
deceivably	dɪˈsiːvəbli
decemvir	dɪ.ˈsɛm.və
decentralism	diːˈsɛntɹəlɪzəm
deceptive	dɪˈsɛp.tɪv
decet	dɛˈsɛt
deciban	ˈdɛsibæn
decidua	dɪˈsɪdʒʊə
decilitre	ˈdɛsɪliːtə(ɹ)
decimate	ˈdɛ.sɪ.meɪt
decipher	dɪˈsaɪfə(ɹ)
decisionist	dɪˈsɪʒənɪst
decked	dɛkt
declaration	ˌdɛkləˈɹeɪʃən
declaredly	dɪˈklɛəɹədli
declawing	diːˈklɔːwɪŋ(ɡ)
decline	dɪˈklaɪn
declustering	diːˈklʊstəɹɪŋɡ
decode	diːˈkəʊd
decollete	dɪˈkɒləteɪ
decolouration	diːˌkʊləˈɹeɪʃən
decompaction	diːkəmˈpækʃən
decomposability	diːkəmˌpəʊzəˈbɪlɪti
decompression	diːkəmˈpɹɛʃən
decondition	diːkənˈdɪʃən
decongestive	diːkənˈdʒɛstɪv
deconstructionism	diːkənˈstɹʊkʃənɪzəm
decontextualization	diːkənˌtɛkstʃəlaɪˈzeɪʃən
deconvolved	diːkənˈvɒɫvd
decorator	ˈdɛkəˌɹeɪtə(ɹ)
decorticated	diːˈkɔːtɪkeɪtəd
decrassify	diːˈkɹæsɪfaɪ
decrementation	ˌdɛkɹəmənˈteɪʃən
decrescent	dɪˈkɹɛsənt
decriminalize	diːˈkɹɪmɪnəlaɪz
dectuple	ˈdektuːpəl
decursive	dɪˈkɜːsɪv
dedication	ˌdɛdɪˈkeɪʃən
deducibility	dɪˌdjuːsɪˈbɪlɪti
deductively	dɪˈdʊktɪvli
deejay	ˈdiːdʒeɪ
deesis	dɪˈiːsɪs
defacing	dɪˈfeɪsɪŋ(ɡ)
defamiliarize	diːfəˈmɪljəɹaɪz
defeatism	dɪˈfiːtɪzəm
defectious	dɪˈfɛkʃəs
defend	dɪˈfɛnd
defenselessly	dɪˈfɛnsləsli
deference	ˈdɛfəɹəns
defervescence	ˌdɛfəˈvɛsəns
defiatory	dɪˈfaɪ(j)ətɹi
deficiently	dɪˈfɪʃəntli
defiliation	dɪˌfɪliːˈ(j)eɪʃən
definiens	diːˈfaɪnɪɛːnz
definitude	dɪˈfɪnɪt(j)uːd
deflocculation	dɪˌflɒkjəˈleɪʃən
defocused	diːˈfəʊkəst
deforestation	dɪˌfɒɹɪsˈteɪʃən
deformity	dɪˈfɔːmɪti
defray	dɪˈfɹeɪ
defunction	dəˈfʌŋkʃən
deg	dɛɡ
degenerative	dɪˈdʒɛn(ə)ɹətɪv
deglomeration	diːˌɡlɒməˈɹeɪʃən
deglutitious	diːˌɡluːˈtɪʃəs
degranulate	diːˈɡɹænjəleɪt
dehalogenation	diːˌheɪlədʒəˈneɪʃən
dehull	diˈhʌl
dehydrate	diːhaɪdˈɹeɪt
dehydrochlorination	diːhaɪdɹəˌklɔːɹɪˈneɪʃən
dehymenization	diːˌhaɪmənaɪˈzeɪʃən
deiform	ˈdeɪ.ɪˌfɔː(ɹ)m
deist	ˈdiː.ɪst
dejected	dɪˈdʒɛktəd
deke	<ul><li>Rhymes: <a href="/wiki/Rhymes:English/i%CB%90k" title="Rhymes:English/iːk"><span class="IPA">-iːk</span></a></li>
delam	diːˈlæm
delay	dɪˈleɪ
delegitimate	ˌdiːlɨˈdʒɪtɨmeɪt
delicate	ˈdɛlɪkət
delightsomely	dɪˈlaɪtsəmli
delinquent	dɪˈlɪŋkwənt
deliver	dɪˈlɪvə(ɹ)
delomorphic	ˌdɛləˈmɔɹfɪk
deltidium	dɛlˈtɪdɪəm
deluxe	diˈlʌks
demarcation	ˌdɛmɑːˈkeɪʃən
demeclocycline	ˌdɛm.ək.loʊˈsaɪˌklin
demesne	dɪˈmiːn
demiflat	dɛmɪˈflæt
demineralized	dɪˈmɪnəɹəlaɪzd
demission	dɪˈmɪʃ(ə)n
demo	ˈdɛm.əʊ
demographic	ˌdɛm.əˈɡɹæf.ɪk
demonagogue	dəˈmɒ.nəˌɡɒɡ
demonstrable	ˈdɛmənstɹəbl̩
demoralize	dɪˈmɒɹəlaɪz
demure	dɪˈmjʊə(ɹ)
denature	diːˈneɪtʃə(ɹ)
dendrolatry	dɛnˈdɹɒlətɹɪ
dendronized	ˈdɛndɹənaɪzd
denier	dəˈnɪə(ɹ)
dentinoid	ˈdɛntɪnˌɔɪd
dentulated	dɛntjɘlatɘd
deoxygenate	diˈɒksɪdʒɪneɪt
departed	dɪˈpɑɹtɪd
dependency	dɪˈpɛndənsi
deplatform	diˈplætfɔɹm
depolarization	diˌpoʊlɚˌaɪˈzeɪʃən
depopulative	diːˈpopjʊˌleɪtɪv
depot	ˈdɛpəʊ
depreciation	dɪˌpɹiːʃɪˈeɪʃən
depressive	dɪˈpɹɛsɪv
depth	dɛpθ
deque	dɛk
derate	diːˈɹeɪt
dereferer	ˌdiːɹəˈfɜːɹə(ɹ)
derg	dɜːɹɡ
derivable	dɪˈɹaɪvəbəɫ
dermabrasion	ˈdɜːməˌbɹeɪʃən
dermatologically	ˌdɜːmətəˈlɒdʒɪkli
dermoneural	ˌdɜːməˈnjʊəɹəɫ
derogation	ˌdɛɹəˈɡeɪʃən
descanso	dɛsˈkɑːnsoʊ
dese	diːz
desert rose	dɪˈzɜːt ɹəʊz
design	dɪˈzaɪn
desire	dɪˈzaɪə
desktop	ˈdɛsktɒp
desolation	ˌdɛsəˈleɪʃən
despawn	diːˈspɔːn
despoil	dɪˈspɔɪl
dessiatina	dɛsjəˈtiːnə
destitute	ˈdɛstɪtjuːt
desuetude	-tʃuːd
detachment	dɪˈtæt͡ʃmənt
detector	dɪˈtɛktə(ɹ)
determinacy	dɪˈtɜːmɪnəsi
deterrent	dɪˈtɛɹənt
detox	ˈdiːtɒks
detrital	diˈtɹaɪtəl
deuce	d͡ʒuːs
dev	dɛv
developer	dɪˈvɛləpə(ɹ)
deviate	ˈdiːvieɪt
devolve	dɪˈvɒɫv
devour	dɪˈvaʊə(ɹ)
dewfull	ˈdjuːfəl
dexterous	ˈdɛkstɹəs
dhimmi	ˈðɪmiː
diabeetus	ˌdaɪəˈbiːtəs
diachronic	daɪ.əˈkɹɒnɪk
diaeresis	daɪˈɪəɹɪsɪs
dialectal	ˌdaɪəˈlɛktəl
dialogue	ˈdaɪəlɒɡ
diamide	ˈdaɪəmaɪd
dianoetic	daɪənəʊˈɛtɪk
diaphonic	daɪəˈfɒnɪk
diarrhea	ˌdaɪ.əˈɹiː.ə
diastalsis	daɪəˈstæɫsɪs
diathesis	daɪˈaθəsɪs
diauxie	daɪˈɔːksi
dicacious	daɪˈkeɪʃəs
dichloride	daɪˈklɔːɹaɪd
dickcissel	dɪkˈsɪsəl
dickies	ˈdɪkiz
dictator	dɪkˈteɪtə(ɹ)
dicyclomine	daɪˈsaɪ.kləˌmin
dideoxycytidine	ˌdʌɪ.di.ɒk.sɪˈsʌɪ.tɪ.diːn
diegetic	ˌdaɪəˈd͡ʒɛtɪk
diff	dɪf
difficile	ˈdɪ.fɪ.saɪl
diffraction	dɪˈfɹækʃən
digamma	daɪˈɡæmə
digestif	ˌdiːʒɛsˈtiːf
digital	ˈdɪd͡ʒɪtl̩
digitigrade	ˈdɪdʒɪtɪˌɡɹeɪd
diglycine	daɪˈɡlaɪsiːn
digraph	ˈdaɪɡɹæf
dihybrid	daɪˈhaɪbɹɪd
diketone	daɪˈkiːtəʊn
dilapidation	dəˌlæp.əˈdeɪ.ʃən
dillydally	ˈdɪliˌdæli
dilution	daɪˈljuːʃən
dimensional	-ʃnəl
diminish	dɪˈmɪnɪʃ
dimolecular	daɪməˈlɛkjʊlə(ɹ)
dingbat	ˈdɪŋˌbæt
dingolay	ˈdɪŋɡəʊleɪ
dinkey	ˈdɪŋki
dinokaryote	ˌdaɪnəʊˈkæɹi.əʊt
dinuclear	daɪˈnjuːklɪə(ɹ)
dioxin	daɪˈɒksɪn
diphthong	ˈdɪpˌθɒŋ(ɡ)
diplomat	ˈdɪ.plə.mæt
diprotodon	daɪˈpɹəʊtədɒn
diptych	ˈdɪptɪk
directly	daɪˈɹɛk(t)li
dirigible	ˈdɪɹɪdʒəbəɫ
dis	dɪs
disabuse	dɪsəˈbjuːz
disagree	dɪsəˈɡɹiː
disappearance	dɪsəˈpɪəɹəns
disapprove	dɪsəˈpɹuːv
disastrous	dɪˈzɑːstɹəs
disbelief	dɪsbɪˈliːf
discaire	dɪsˈkɛə
discerning	dɪˈsɜːn.iŋ
disciplinary	dɪsɪˈplɪnəɹi
discommend	dɪskəˈmɛnd
disconsonant	dɪsˈkɒnsənənt
discord	ˈdɪskɔɹd
discoursive	dɪsˈkɔː(ɹ)sɪv
discrepancy	dɪsˈkɹɛpənsi
discriminatory	dɪˌskɹɪmɪˈneɪt(ə)rɪ
disdainful	dɪsˈdeɪn.fəl
disenamour	dɪsɪˈnæmə(ɹ)
disenslave	ˌdɪsənˈsleɪv
disfavourable	dɪsˈfeɪvɹəbəɫ
disgruntlement	dɪsˈɡɹʌntəlmɪnt
dishable	dɪˈseɪbəl
dishevelled	dɪˈʃɛvəld
dishy	ˈdɪʃ.i
disinfectant	dɪs.ɪnˈfɛktənt
disintegrative	dɪsˈɪntɪˌɡreɪtɪv
disjoin	dɪsˈdʒɔɪn
dislike	ˈdɪslaɪk
dismantle	dɪsˈmæntəl
disorganised	dɪsˈɔː.ɡən.aɪzd
disparage	dɪsˈpæɹɪd͡ʒ
dispel	<li>Rhymes: <a href="/wiki/Rhymes:English/%C9%9Bl" title="Rhymes:English/ɛl"><span class="IPA">-ɛl</span></a></li>
dispirited	dɪˈspɪɹɪtəd
disponge	dɪsˈpʌnd͡ʒ
dispraise	dɪˈspɹeɪz
disputable	dɪsˈpjuːtəbəɫ
disquietude	dɪˈskwaɪ.ɪ.tjuːd
disrespect	dɪsɹɪˈspɛkt
dissatisfy	dɪsˈsætɪsfaɪ
dissensus	dɪˈsɛn.səs
dissilition	dɪsɪˈlɪʃən
dissite	dɪˈsaɪt
dissonant	ˈdɪsənənt
distaste	dɪsˈteɪst
distention	dɪsˈtɛnʃən
distinctiveness	dɪsˈtɪŋ(k)tɪvnɪs
distract	dɪsˈtɹækt
distributive	dɪsˈtɹɪbjʊtɪv
disulfite	daɪˈsʌlfaɪt
disyllabic	daɪsɪˈlæbɪk
ditherer	ˈdɪðəɹə(ɹ)
diuretic	daɪ(j)əˈɹɛtɪk
diver	ˈdaɪ̯vəɹ
divert	daɪˈvɜːt
divider	dɪˈvaɪdə(ɹ)
divisibility	dɪˈvɪzɪbɪlɪti
divorcé	dɪˈvɔːseɪ
dizzardly	ˈdɪzɚdli
do over	ˈduːˌəʊvə(ɹ)
docker	ˈdɑkɚ
doctor&#039;s	ˈdɑktɚz
doddle	ˈdɒdəl
doff	dɒf
doge	ˈdəʊ.dʒeɪ
dogleg	ˈdɒɡlɛɡ
dogwood	ˈdɒɡwʊd
doleful	ˈdoʊlfəl
dolly	ˈdɑli
dolphin	ˈdɒlfɪn
domal	ˈdəʊməl
dominance	ˈdɒmɪnəns
domperidone	dɑmˈpɛɹ.ɪˌdoʊn
don&#039;t	dəʊnt
donation	dəʊˈneɪʃən
doner kebab	ˈdɒn.ə(ɹ).kəˌbæb
doofus	<ul><li>Rhymes: <a href="/wiki/Rhymes:English/u%CB%90f%C9%99s" title="Rhymes:English/uːfəs"><span class="IPA">-uːfəs</span></a></li>
doomsday	ˈduːmz.deɪ
doormat	ˈdɔːˌmæt
doppelganger	-ˌɡæŋə
dork	dɔɹk
dorse	dɔː(ɹ)s
dose	dəʊs
dot-commer	dɒtˈkɒmə
douar	ˈduːɑː
douchy	ˈduːʃi
dougong	doʊˈɡʊŋ
doup	daʊp
dovetail	ˈdʌvteɪl
dowle	ˈdaʊl
downcast	ˈdaʊnkæst
downing	ˈdaʊnɪŋ
downtune	ˈdaʊntuːn
doxazosin	dɑkˈseɪ.zəs.ɪn
draggle-tailed	ˈdɹæɡl̩ˌteɪld
dragoon	dɹəˈɡuːn
drape	dɹeɪp
draught	dɹɑːft
drawback	ˈdɹɔːˌbæk
drawn	dɹɔːn
dreadnought	dɹɛdˈnɔːt
dree	dɹiː
drifting	ˈdɹɪftɪŋ
drink	dɹɪŋk
drivable	ˈdɹaɪvəbl̩
drizzle	ˈdɹɪz.l
dromaeognathous	ˌdɹɒmiːˈɒɡnəθəs
drooling	ˈdɹuːlɪŋ
dropbox	ˈdɹɑp.bɑks
drosophila	dɹəˈsɑfələ
drover	dɹəʊ.və
droxicam	ˈdɹɒksɪkæm
druggeting	ˈdɹʌɡɪtɪŋ
drumlin	ˈdɹʌmlɪn
drupelet	-lət
dryad	ˈdɹaɪæd
dub	dʌb
dubitable	ˈduːbɪtəbəl
ductule	ˈdʌktjuːl
dulcour	ˈdʌlkə
dumbfound	ˈdʌm.faʊnd
dumpee	ˈdʌmpiː
dunder	ˈdʌndə(ɹ)
dungeon	ˈdʌn.dʒən
dunno	dəˈnəʊ
duodecet	ˌd(j)uːədɛˈsɛt
duopoly	duːˈɒpəli
duppy	ˈdʌpi
durum	ˈdʌ.ɹəm
dustee	ˈdʌsti
dutch	dʌtʃ
duvet	ˈd(j)uːveɪ
dwarfism	ˈdwɔɹfɪzəm
dwimmery	ˈdwɪ.mə.ɹi
dyeing	ˈdaɪ.ɪŋ
dynamic	daɪˈnæm.ɪk
dynein	ˈdaɪ.niːn
dysfunction	dɪsˈfʌŋk.ʃən
dyspareunia	dɪspəˈɹuːnɪə
dyspraxia	dɪsˈpɹæksiə
dziggetai	ˈ(d)zɪɡətaɪ
dénouement	deˈnuːmɑ̃
each other	iːˈtʃʌðə
eagre	ˈiːɡə(ɹ)
earl	ɜːl
earring	ˈɪɹɪŋ
earthling	ˈɜːθlɪŋ
earworm	ˈɪəwɜːm
easy	ˈiːzɪ
eats	iːts
ebb	ɛb
ebon	ˈɛbən
ecarte	e.kɑɹˈte
ecclesiastic	əkliziˈæstɪk
echinococcus	ɪˌkaɪ.nəˈkɑk.əs
echolocation	ˌɛkoʊloʊˈkeɪʃən
ecliptic	ɪˈklɪp.tɪk
ecological	ˌiːkəˈlɒd͡ʒɪkl̩
ectasia	ɛkˈteɪzjə
eczematous	ɪɡˈzɛmətəs
edge	ɛdʒ
edification	ˌɛdɪfɪˈkeɪʃən
edited	ˈɛdɪtɪd
educator	ˈɛdʒəkeɪtɚ
eely	ˈiːli
efavirenz	ˌɛf.əˈvaɪˌɹɛnz
effectuous	ɪˈfɛktʃuəs
efficacy	ˈɛf.ɪ.kə.si
effloresce	-flɒ-
effortlessness	ˈef.ət.ləs.nəs
egest	iːˈdʒɛst
eggnog	ˈɛɡ.nɒɡ
egregiously	ɪˈɡɹidʒəsli
eidos	ˈaɪdɒs
eighty	ˈeɪ.ti
einsteinium	aɪnˈstaɪni.əm
ejecta	əˈdʒɛktə
ekker	ɛkə(ɹ)
eland	ˈiːlənd
eldritch	ˈɛldɹɪtʃ
electorate	ɪˈlɛktəɹət
electrify	ɪˈlɛktɹɪfaɪ
electrolytic	ɨˌlɛk.tɹɵˈlɪ.tɪk
elephant	ˈɛlɪf(ə)nt
elevator	ˈɛləveɪtə
eleëmosynary	ˌɛlɪ.iːˈmɒsɪnəɹɪ
elfin safety	ɛlˈfɪn ˌseɪf.ti
eligible	ˈɛlɪdʒəb(ə)l
elision	ɪˈlɪz.j(ə)n̩
ellisize	ˈɛlɪsaɪz
else	ɛls
elutriate	ɪˈluːtɹɪeɪt
emanation	ˌɛməˈneɪʃən
embalm	ɪmˈbɑːm
embase	ɪmˈbeɪs
emblematic	ˌɛmbləˈmatɪk
embourgeoisement	ɒmbɔːˈʒwazmɑ̃
embroidery	ɪmˈbɹɔɪdəɹi
emend	ɪˈmɛnd
emerging	ɪˈmɝd͡ʒɪŋ
emetine	ˈɛm.ɪ.tiːn
eminence	ˈɛmɪnəns
emit	ɪˈmɪt
emmet	ˈɛmɪt
emoticon	ɪˈmoʊtəˌkɑn
empanoply	ɛm-
emperor	ˈɛmpɹə
empirical	ɪmˈpɪɹɪkəl
emprise	ɪmˈpɹaɪz
emulate	ˈɛm.jə.leɪt
en coup de sabre	ɑ̃ ku də sa.bɹə
enablement	ɪˈneɪbəl.mənt
enamor	ɪˈnamə
encamp	ɪnˈkæmp
enchorial	ɛnˈkɔː.ɹɪəl
encode	ɪnˈkoʊd
encourage	ɪnˈkʌɹ.ɪdʒ
encyclical	ɛnˈsɪklɪkəl
endarken	ɪnˈdaɹkɪn
endmost	ˈɛndˌmoʊst
endolymph	ˈɛn.də(ʊ).lɪmf
endowment	ɛnˈdaʊmənt
enemy	ˈɛnəmi
enfasten	ɛnˈfæsə̆n
engaging	ɪŋˈɡeɪd͡ʒɪŋ
enginery	ˈɛnd͡ʒɪnɹi
engraved	ɪnˈɡɹeɪvd
enhanced interrogation	ɪnˈhænst ɪnˌtɛɹəˌɡeɪʃən
enjambment	ɪn.ˈdʒæmb.mənt
enlightened	ɪnˈlaɪtənd
ennui	ɒnˈwiː
enplane	ɛnˈpleɪn
enripen	ɛnˈɹaɪpən
enshrine	ɛnˈʃɹʌɪn
ensober	ɪnˈsəʊbə(ɹ)
entablature	ɛnˈtæ.blə.tʃɚ
entelechy	ɛnˈtɛləki
enterprise	ˈɛntɚˌpɹaɪz
enthuse	ɪnˈθjuːz
entrance	ˈɛn.tɹəns
entrench	ɛnˈtɹɛntʃ
envenom	ɪnˈvɛnəm
envision	ɪnˈvɪʒən
ephectic	ə.ˈfe.ktik
epicede	ˈɛpɪsiːd
epididymal	ɛpəˈdɪdəməl
epigram	ˈɛpɪɡɹæm
epimoric	ɛpɪˈmɒɹɪk
epiphloeum	ɛ.pɪˈfliː.əm
episcopal	əˈpɪs.kə.pl̩
epistaxis	ˌɛpɪˈstæksɪs
epitaxy	ˈɛpətæks.i
epitomic	ɛpiːˈtɒmɪk
epoch	ˈɛpək
equals	ˈiːkwəlz
equiangled	ˌiːkwɪˈæŋɡəld
equipage	ˈɛ.kwɪ.pɪdʒ
equitable	ˈɛk.wɪ.tə.bəl
erasure	ɪˈɹeɪʃɚ
erectile	əˈɹɛktaɪl
ergotamine	ɜːˈɡɒtəmiːn
erotica	ɪˈɹɒt.ɪkə
errhine	ˈɛɹ.aɪn
erubescent	ˌɛɹ.ʊˈbɛs.ənt
ervil	ˈɜː.vɪl
escarole	-ɹɒl
eschew	ɪʃˈtʃuː
escutcheon	ɪˈskʌtʃən
espadrille	ɛspəˈdɹɪl
esplanade	ˌɛspləˈnɑːd
estaminet	ɛstæmɪˈneɪ
esthiomene	ˌɛsθiˈɒməni
estop	ɪˈstɒp
estro-	ɛ.stɹə
et alios	ˌɛt ˈɑːliɒs
etesian	ɪˈtiːʒən
ethelborn	ˈɛθlbɔːn
ethnicity	ɛθˈnɪsɪti
ethology	iːˈθɒl.ə.dʒi
ethynodiol	ˌɛθ.ɪn.oʊˈdaɪˌɔl
etiracetam	ˌɛtɪˈɹæsɪtæm
etymemazine	ˌɛtɪˈmɛməziːn
eudaemon	juˈdimən
eugenics	juːˈdʒɛnɪks
euphonious	juːˈfəʊ.nɪ.əs
evacuation	ɪˌvækjuˈeɪʃən
evangelical	iːvænˈdʒɛlɪkəl
evapotranspirational	ɪˌvæpoʊˌtɹænspɪˈɹeɪʃənəl
evening	ˈiːvnɪŋ
ever	ˈɛvə
evert	ɪˈvɜːt
evidence	ˈɛvədəns
evilworker	ˈiːvɪlwɜː.kə
evolve	ɪˈvɑlv
ewer	ˈjʊə
exacerbate	ɪkˈsæs-
exaggeration	ɪɡˌzæd͡ʒəˈɹeɪʃən
examiner	əɡˈzæmɪnɚ
exceptious	ɪkˈsɛpʃəs
excise	ˈɛkˌsaɪz
exclamatory	ɛksˈklæməˌtɔɹi
excoriate	ɪkˈskoʊɹ.iˌeɪt
excruciatingly	ɪkˈskɹuːsiːeɪtɪŋli
execration	ɛksɪˈkɹeɪʃən
exegesis	ɛksɪˈdʒiːsɪs
exequatur	ɛksɪˈkweɪtə
exhausted	ɪɡˈzɔstɪd
exhilarate	ɛɡ-
exiguous	ɛɡˈzɪɡju.əs
existing	ɪɡˈzɪstɪŋ
exogenous	ɛk.ˈsɑd͡ʒ.ə.nəs
exorcism	ˈɛk.sɔː.sɪ.zəm
expand	<ul><li>Rhymes: <a href="/wiki/Rhymes:English/%C3%A6nd" title="Rhymes:English/ænd"><span class="IPA">-ænd</span></a></li>
expectation	ɛkspɛkˈteɪʃən
expedition	ɛkspəˈdɪʃən
experienced	ɪkˈspɪɹ.i.ənst
expiration	ˌɛk.spəˈɹeɪ.ʃən
explicit	ɪkˈsplɪsɪt
explorer	ɛkˈsplɔːɹə(ɹ)
expostulate	ɛksˈpɒstjʊleɪt
expropriation	ɛksˌpɹoʊpɹiˈeɪʃən
exstrophy	ˈɛk.stɹəf.i
extendable	ɛkˈstɛndəbl̩
exteriority	ɛkˌstɪɹiˈɑɹɪti
externality	ɛkstəˈnælɪti
extol	ɪkˈstəʊl
extractor	ɪkˈstɹæktɚ
extrapolate	ɪk-
extravaganza	ɪkˌstɹæv.əˈɡæn.zə
extricate	ˈɛks.tɹɪ.keɪt
exudate	ˈɛɡzjʊdeɪt
eye	aɪ
eyelid	ˈaɪ.lɪd
eyot	aɪt
fa	fɑ
facadism	fəˈsɑːd.ɪzm̩
facer	ˈfeɪsə(ɹ)
facilitate	fəˈsɪləteɪt
factice	ˈfæktɪs
facts	fækts
faddish	ˈfædɪʃ
faff	fæf
faggy	ˈfæɡi
failure	ˈfeɪ.ljə
fair dinkum	ˌfeː ˈdɪŋ.kəm
fairly	ˈfɛə(ɹ).li
faithfully	ˈfeɪθfəli
falcate	ˈfælkeɪt
fallency	ˈfælənsi
falls	fɔːlz
falsish	ˈfɒlsɪʃ
