-ahtaa	-ɑhtɑːˣ
nesteytyminen	ˈnestey̯tyminen
nettiaika	ˈnetːiˌɑi̯kɑ
nettisivu	ˈnetːiˌsiʋu
nettopalkka	ˈnetːoˌpɑlkːɑ
neulahuopamatto	ˈneu̯lɑˌhuo̯pɑˌmɑtːo
neulanterävä	ˈneu̯lɑnˌteræʋæ
neulelanka	ˈneu̯leˣˌlɑŋkɑ
neulominen	ˈneu̯lominen
neuraalitietokone	ˈneu̯rɑːliˌtie̯tokoneˣ
neurohypofyysi	ˈneu̯roˌhypofyːsi
neurosirkulatorinen	ˈneu̯roˌsirkulɑtorinen
neutralisaatiotekniikka	ˈneu̯trɑlisɑːtioˌtekniːkːɑ
neutroniluku	ˈneu̯troniˌluku
neuvontanumero	ˈneu̯ʋontɑˌnumero
neuvottelu	ˈneu̯ʋotːelu
neuvottelutulos	ˈneu̯ʋotːeluˌtulos
nevoittua	ˈneʋoi̯tːuɑˣ
nide	ˈnideˣ
nielu	ˈnie̯lu
nigiri	ˈniɡiri
niiaaminen	ˈniːɑːminen
niinityö	ˈniːniˌtyø̯
niiskuttaa	ˈniːskutːɑːˣ
niitti	ˈniːtːi
niittyheinä	ˈniːtːyˌhei̯næ
niittypirtti	ˈniːtːyˌpirtːi
nikealainen	ˈnikeɑlɑi̯nen
nikotiiniriippuvuus	ˈnikotiːniˌriːpːuʋuːs
niksua	ˈniksuɑˣ
nilkkakenkä	ˈnilkːɑˌkeŋkæ
nilkutus	ˈnilkutus
nimellisarvoinen	ˈnimelːisˌɑrʋoi̯nen
nimenhuutoäänestys	ˈnimenˌhuːtoˌæːnestys
nimestää	ˈnimestæːˣ
nimikilpi	ˈnimiˌkilpi
nimikkoseura	ˈnimikːoˌseu̯rɑ
nimileimasin	ˈnimiˌlei̯mɑsin
nimiosa	ˈnimiˌosɑ
nimismies	ˈnimisˌmie̯s
nimitutkimus	ˈnimiˌtutkimus
nippu-uitto	ˈnipːuˌ(ʔ)ui̯tːo
niputtaminen	ˈniputːɑminen
nirpassa	ˈnirpɑsːɑ
niska	ˈniskɑ
niskalenkkitoppi	ˈniskɑˌleŋkːiˌtopːi
niskatuki	ˈniskɑˌtuki
nisä	ˈnisæ
nitistää	ˈnitistæːˣ
nitraattifilmi	ˈnitrɑːtːiˌfilmi
niuha	ˈniu̯hɑ
niukkalajinen	ˈniu̯kːɑˌlɑjinen
nivalalainen	ˈniʋɑlɑlɑi̯nen
nivelliitos	ˈniʋelˌliːtos
nivelsairaus	ˈniʋelˌsɑi̯rɑus
niveräinen	ˈniʋeræi̯nen
noheva	ˈnoheʋɑ
noita-akka	ˈnoi̯tɑˌ(ʔ)ɑkːɑ
noja-asento	ˈnojɑˌ(ʔ)ɑsento
nokatusten	ˈnokɑtusten
nokimusta	ˈnokiˌmustɑ
nokittelu	ˈnokitːelu
nokkakolari	ˈnokːɑˌkolɑri
nokki	ˈnokːi
nokonnuuka	ˈnokonˌnuːkɑ
nolla-asteinen	ˈnolːɑˌ(ʔ)ɑstei̯nen
nollaluokka	ˈnolːɑˌluo̯kːɑ
nollatutkimus	ˈnolːɑˌtutkimus
nominaaliasteikko	ˈnominɑːliˌɑstei̯kːo
nonni	ˈnonːi(ˣ)
nopealiikkeinen	ˈnopeɑˌliːkːei̯nen
nopeudenrajoitin	ˈnopeu̯denˌrɑjoi̯tin
nopeutus	ˈnopeu̯tus
norjalaismies	ˈnorjɑlɑi̯sˌmie̯s
normaalikoulu	ˈnormɑːliˌkou̯lu
normaalipainoinen	ˈnormɑːliˌpɑi̯noi̯nen
normaaliälyinen	ˈnormɑːliˌælyi̯nen
normisidonnaisuus	ˈnormiˌsidonːɑi̯suːs
norsueläin	ˈnorsuˌelæi̯n
norua	ˈnoruɑˣ
nosto-ovi	ˈnostoˌ(ʔ)oʋi
nostolupa	ˈnostoˌlupɑ
nosturiauto	ˈnosturiˌɑu̯to
notkeagibboni	ˈnotkeɑˌɡibːoni
notkoselkä	ˈnotkoˌselkæ
nousukasmaisesti	ˈnou̯sukɑsˌmɑi̯sestiˣ
noutaja	ˈnou̯tɑjɑ
novellikirjailija	ˈnoʋelːiˌkirjɑi̯lijɑ
noviisi	ˈnoʋiːsi
nugaa	ˈnuɡɑː
nuhdella	ˈnuhdelːɑˣ
nuijakalastus	ˈnui̯jɑˌkɑlɑstus
nukahtamislääke	ˈnukɑhtɑmisˌlæːkeˣ
nukkaaminen	ˈnukːɑːminen
nukkefilmi	ˈnukːeˌfilmi
nukkuma-aika	ˈnukːumɑˌ(ʔ)ɑi̯kɑ
nukute	ˈnukuteˣ
nullifikaatio	ˈnulːifikɑːtio
numerollisesti	ˈnumerolːisestiˣ
numerosarja	ˈnumeroˌsɑrjɑ
nummi	ˈnumːi
nuo	ˈnuo̯
nuokkua	ˈnuo̯kːuɑˣ
nuolenpääkirjoitus	ˈnuo̯lenˌpæːˌkirjoi̯tus
nuolimainen	ˈnuo̯limɑi̯nen
nuorakeramiikka	ˈnuo̯rɑˌkerɑmiːkːɑ
nuorentuminen	ˈnuo̯rentuminen
nuoriso-osasto	ˈnuo̯risoˌ(ʔ)osɑsto
nuorisokirjailija	ˈnuo̯risoˌkirjɑi̯lijɑ
nuorisonhuolto	ˈnuo̯risonˌhuo̯lto
nuorisoromaani	ˈnuo̯risoˌromɑːni
nuorisotyönohjaaja	ˈnuo̯risoˌtyø̯nˌohjɑːjɑ
nuorsuomalaisuus	ˈnuo̯rˌsuo̯mɑlɑi̯suːs
nuortenohjelma	ˈnuo̯rtenˌohjelmɑ
nuoruudenlähde	ˈnuo̯ruːdenˌlæhdeˣ
nuoskasää	ˈnuo̯skɑˌsæː
nuotintaa	ˈnuo̯tintɑːˣ
nuotiotuli	ˈnuo̯tioˌtuli
nuottiarvo	ˈnuo̯tːiˌɑrʋo
nupopäinen	ˈnupoˌpæi̯nen
nupukivi	ˈnupuˌkiʋi
nurinmeno	ˈnurinˌmeno
nurkata	ˈnurkɑtɑˣ
nurkkakuntaisesti	ˈnurkːɑˌkuntɑi̯sestiˣ
nurkumattomuus	ˈnurkumɑtːomuːs
nurmipallo	ˈnurmiˌpɑlːo
nuta	ˈnutɑ
nutukas	ˈnutukɑs
nuuskatupakka	ˈnuːskɑˌtupɑkːɑ
nyde	ˈnydeˣ
nykerö	ˈnykerø
nykyasu	ˈnykyˌɑsu
nykyolot	ˈnykyˌolot
nykyttäminen	ˈnykytːæminen
nynnerö	ˈnynːerø
nyreys	ˈnyreys
nyrkkirieska	ˈnyrkːiˌrie̯skɑ
nystermä	ˈnystermæ
nytkähtäminen	ˈnytkæhtæminen
nyymi	ˈnyːmi
nyökyttää	ˈnyø̯kytːæːˣ
nähdessä	ˈnæhdesːæ
näin päin	ˈnæi̯n ˈpæi̯n
näkijä	ˈnækijæ
näkyminen	ˈnækyminen
näkyviltä	ˈnækyʋiltæ
näkö	ˈnækø
näköispainos	ˈnækøi̯sˌpɑi̯nos
näköpuhelin	ˈnækøˌpuhelin
näkövinkkeli	ˈnækøˌʋiŋkːeli
nälväisy	ˈnælʋæi̯sy
näpistää	ˈnæpistæːˣ
näppäinharmonikka	ˈnæpːæi̯nˌhɑrmonikːɑ
näpsäkkä	ˈnæpsækːæ
näpäkkä	ˈnæpækːæ
närkästyminen	ˈnærkæstyminen
näskäin	ˈnæskæi̯n
näyte	ˈnæy̯teˣ
näytelmämusiikki	ˈnæy̯telmæˌmusiːkːi
näyteväli	ˈnæy̯teˣˌʋæli
näytteleminen	ˈnæy̯tːeleminen
näyttelyjulkaisu	ˈnæy̯tːelyˌjulkɑi̯su
näyttis	ˈnæy̯tːis
näyttämöliikunta	ˈnæy̯tːæmøˌliːkuntɑ
näyttämötekniikka	ˈnæy̯tːæmøˌtekniːkːɑ
näyttömuisti	ˈnæy̯tːøˌmui̯sti
näytäntövuosi	ˈnæy̯tæntøˌʋuo̯si
näännyksiin	ˈnæːnːyksiːn
nöf	ˈnøf
nöyrtyminen	ˈnøy̯rtyminen
obeliski	ˈobeliski
obliikvi	ˈobliːkʋi
odottamatta	ˈodotːɑmɑtːɑ
offshoretekniikka	ˈofˌsoːrˌtekniːkːɑ
oheistulostin	ˈohei̯sˌtulostin
ohikiitävä	ˈohiˌkiːtæʋæ
ohipuhuminen	ˈohiˌpuhuminen
ohivirtaussuihkumoottori	ˈohiˌʋirtɑusˌsui̯hkuˌmoːtːori
ohjailu	ˈohjɑi̯lu
ohjauskoodi	ˈohjɑusˌkoːdi
ohjausvuoro	ˈohjɑusˌʋuo̯ro
ohjelma	ˈohjelmɑ
ohjelmavälitys	ˈohjelmɑˌʋælitys
ohjelmistoversio	ˈohjelmistoˌʋersio
ohjushyökkäys	ˈohjusˌhyø̯kːæys
ohramallas	ˈohrɑˌmɑlːɑs
ohutkerroskromatografia	ˈohutˌkerːosˌkromɑtoɡrɑfiɑ
oikaisuyritys	ˈoi̯kɑi̯suˌyritys
oikeapituinen	ˈoi̯keɑˌpitui̯nen
oikeudenhoito	ˈoi̯keu̯denˌhoi̯to
oikeudentuntoinen	ˈoi̯keu̯denˌtuntoi̯nen
oikeusasia	ˈoi̯keusˌɑsiɑ
oikeusistuin	ˈoi̯keusˌistui̯n
oikeuskäsitys	ˈoi̯keusˌkæsitys
oikeusneuvosmies	ˈoi̯keusˌneu̯ʋosˌmie̯s
oikeuspositivismi	ˈoi̯keusˌpositiʋismi
oikeussuhde	ˈoi̯keusˌsuhdeˣ
oikeustieteellinen	ˈoi̯keusˌtie̯teːlːinen
oikeustutkinto	ˈoi̯keusˌtutkinto
oikoa	ˈoi̯koɑˣ
oikosulkumoottori	ˈoi̯koˌsulkuˌmoːtːori
oireyhtymä	ˈoi̯reˣˌyhtymæ
ojentua	ˈojentuɑˣ
okklusaalinen	ˈokːlusɑːlinen
oksa	ˈoksɑ
oksennustauti	ˈoksenːusˌtɑu̯ti
oksi	ˈoksi
oksitaani	ˈoksitɑːni
okulaari	ˈokulɑːri
olemassaolo	ˈolemɑsːɑˌolo
oleskelija	ˈoleskelijɑ
oletus	ˈoletus
oligoseenikausi	ˈoliɡoseːniˌkɑu̯si
olkakirves	ˈolkɑˌkirʋes
olkikatto	ˈolkiˌkɑtːo
olmi	ˈolmi
olotila	ˈoloˌtilɑ
olympolainen	ˈolympolɑi̯nen
omahoito	ˈomɑˌhoi̯to
omaisuudenhoitoyhtiö	ˈomɑi̯suːdenˌhoi̯toˌyhtiø
omakehu	ˈomɑˌkehu
omakotitaloalue	ˈomɑˌkotiˌtɑloˌɑlueˣ
omakustannus	ˈomɑˌkustɑnːus
omalakisuus	ˈomɑˌlɑkisuːs
omanlainen	ˈomɑnlɑi̯nen
omantunnonvapaus	ˈomɑnˌtunːonˌʋɑpɑus
omarahoitusosuus	ˈomɑˌrɑhoi̯tusˌosuːs
omavalintainen	ˈomɑˌʋɑlintɑi̯nen
omavastuisesti	ˈomɑˌʋɑstui̯sestiˣ
omenainen	ˈomenɑi̯nen
omikron	ˈomikron
ominaisliike	ˈominɑi̯sˌliːkeˣ
ominpäin	ˈominˌpæi̯n
omistajavalta	ˈomistɑjɑˌʋɑltɑ
omistusasuminen	ˈomistusˌɑsuminen
omistusliitteinen	ˈomistusˌliːtːei̯nen
ompeleminen	ˈompeleminen
onania	ˈonɑniɑ
onkia	ˈoŋkiɑˣ
onneksi	ˈonːeksi
ontelo	ˈontelo
ontologia	ˈontoloɡiɑ
oopperarepertoaari	ˈoːpːerɑˌrepertoɑːri
opastin	ˈopɑstin
opettaa	ˈopetːɑːˣ
opetteleminen	ˈopetːeleminen
opetuskäyttö	ˈopetusˌkæy̯tːø
opetustila	ˈopetusˌtilɑ
opetusvirka	ˈopetusˌʋirkɑ
opinto-opas	ˈopintoˌ(ʔ)opɑs
opintokokonaisuus	ˈopintoˌkokonɑi̯suːs
opintosuoritus	ˈopintoˌsuo̯ritus
opioidireseptori	ˈopioi̯diˌreseptori
opiskelijalevottomuudet	ˈopiskelijɑˌleʋotːomuːdet
opiskeluaikainen	ˈopiskeluˌɑi̯kɑi̯nen
opistoaste	ˈopistoˌɑsteˣ
oppiarvo	ˈopːiˌɑrʋo
oppilashuolto	ˈopːilɑsˌhuo̯lto
oppimispsykologi	ˈopːimisˌpsykoˌloɡi
oppivelvollinen	ˈopːiˌʋelʋolːinen
optimoida	ˈoptimoi̯dɑˣ
orakko	ˈorɑkːo
orastaminen	ˈorɑstɑminen
organelli	ˈorɡɑnelːi
organogeneesi	ˈorɡɑnoˌɡeneːsi
orimattilalainen	ˈoriˌmɑtːilɑlɑi̯nen
orjuuttaa	ˈorjuːtːɑːˣ
orneerata	ˈorneːrɑtɑˣ
orsivesi	ˈorsiˌʋesi
ortografia	ˈortoɡrɑfiɑ
orvakka	ˈorʋɑkːɑ
osa-aikaisuus	ˈosɑˌ(ʔ)ɑi̯kɑi̯suːs
osakemyynti	ˈosɑkeˣˌmyːnti
osaketalo	ˈosɑkeˣˌtɑlo
osakuntaelämä	ˈosɑˌkuntɑˌelæmæ
osallistumisaktiivisuus	ˈosɑlːistumisˌɑktiːʋisuːs
osamaksuluotto	ˈosɑˌmɑksuˌluo̯tːo
osanottajavaltio	ˈosɑnˌotːɑjɑˌʋɑltio
osapalkkio	ˈosɑˌpɑlkːio
osapäivätyö	ˈosɑˌpæi̯ʋæˌtyø̯
osastollinen	ˈosɑstolːinen
osasyy	ˈosɑˌsyː
osavalmistus	ˈosɑˌʋɑlmistus
oseanologia	ˈoseɑnoloɡiɑ
osinkoprosentti	ˈosiŋkoˌprosentːi
osittaisderivoida	ˈositːɑi̯sˌderiʋoi̯dɑˣ
osmonsolmu	ˈosmonˌsolmu
osoiterekisteri	ˈosoi̯teˣˌrekisteri
osoittaja	ˈosoi̯tːɑjɑ
ostari	ˈostɑri
osto-opas	ˈostoˌ(ʔ)opɑs
ostokriteeri	ˈostoˌkriteːri
ostopaine	ˈostoˌpɑi̯neˣ
ostospaikka	ˈostosˌpɑi̯kːɑ
osuma	ˈosumɑ
osuuskirja	ˈosuːsˌkirjɑ
osuusteurastamo	ˈosuːsˌteu̯rɑstɑmo
osviitta	ˈosʋiːtːɑ
otattaa	ˈotɑtːɑːˣ
otos	ˈotos
otsalauta	ˈotsɑˌlɑu̯tɑ
otsoniaukko	ˈotsoniˌɑu̯kːo
ottaa onkeensa	ˈotːɑːˣ ˈoŋkeːnsɑˣ
ottajainen	ˈotːɑjɑi̯nen
oudoksuminen	ˈou̯doksuminen
outolintu	ˈou̯toˌlintu
paahtoleipä	ˈpɑːhtoˌlei̯pæ
paali	ˈpɑːli
paaluveto	ˈpɑːluˌʋeto
paapoa	ˈpɑːpoɑˣ
paavi	ˈpɑːʋi
paaši	ˈpɑːʃi
paeta	ˈpɑetɑˣ
pahanilkinen	ˈpɑhɑnˌilkinen
pahantapainen	ˈpɑhɑnˌtɑpɑi̯nen
pahaääninen	ˈpɑhɑˌæːninen
pahentaa	ˈpɑhentɑːˣ
pahkainen	ˈpɑhkɑi̯nen
pahoilleen	ˈpɑhoi̯lːeːn
paholainen	ˈpɑholɑi̯nen
pahvirasia	ˈpɑhʋiˌrɑsiɑ
paijaaminen	ˈpɑi̯jɑːminen
paikalleen	ˈpɑi̯kɑlːeːn
paikallishistoria	ˈpɑi̯kɑlːisˌhistoriɑ
paikallislinja	ˈpɑi̯kɑlːisˌlinjɑ
paikallisradio	ˈpɑi̯kɑlːisˌrɑdio
paikallistuntemus	ˈpɑi̯kɑlːisˌtuntemus
paikannimistö	ˈpɑi̯kɑnˌnimistø
paikata	ˈpɑi̯kɑtɑˣ
paikkakortti	ˈpɑi̯kːɑˌkortːi
paikkatieto	ˈpɑi̯kːɑˌtie̯to
paikkoheitto	ˈpɑi̯kːoˌhei̯tːo
paikoittain	ˈpɑi̯koi̯tːɑi̯n
paimenharakka	ˈpɑi̯menˌhɑrɑkːɑ
paimentaa	ˈpɑi̯mentɑːˣ
paimentorvi	ˈpɑi̯menˌtorʋi
painaltaa	ˈpɑi̯nɑltɑːˣ
painatustyö	ˈpɑi̯nɑtusˌtyø̯
paineenalainen	ˈpɑi̯neːnˌɑlɑi̯nen
paineensäädin	ˈpɑi̯neːnˌsæːdin
paineilmakäyttöinen	ˈpɑi̯neˣˌilmɑˌkæy̯tːøi̯nen
paineistaminen	ˈpɑi̯nei̯stɑminen
painella	ˈpɑi̯nelːɑˣ
painesäiliö	ˈpɑi̯neˣˌsæi̯liø
painijoukkue	ˈpɑi̯niˌjou̯kːueˣ
paino	ˈpɑi̯no
painoinen	ˈpɑi̯noi̯nen
painokivi	ˈpɑi̯noˌkiʋi
painoluokka	ˈpɑi̯noˌluo̯kːɑ
painopaikka	ˈpɑi̯noˌpɑi̯kːɑ
painorajoitus	ˈpɑi̯noˌrɑjoi̯tus
painosylinteri	ˈpɑi̯noˌsylinteri
painotyö	ˈpɑi̯noˌtyø̯
painoyksikkö	ˈpɑi̯noˌyksikːø
paisetauti	ˈpɑi̯seˣˌtɑu̯ti
paistihaarukka	ˈpɑi̯stiˌhɑːrukːɑ
paistinuuni	ˈpɑi̯stinˌuːni
paistorasva	ˈpɑi̯stoˌrɑsʋɑ
paisuttelu	ˈpɑi̯sutːelu
paitasillaan	ˈpɑi̯tɑsilːɑːn
pajakalusto	ˈpɑjɑˌkɑlusto
pajukori	ˈpɑjuˌkori
pajupuu	ˈpɑjuˌpuː
pakahtuminen	ˈpɑkɑhtuminen
pakastamo	ˈpɑkɑstɑmo
pakasteteippi	ˈpɑkɑsteˣˌtei̯pːi
pakeillaan	ˈpɑkei̯lːɑːn
paketillinen	ˈpɑketilːinen
pakettinaru	ˈpɑketːiˌnɑru
pakinatyylinen	ˈpɑkinɑˌtyːlinen
pakkaamo	ˈpɑkːɑːmo
pakkasenkestävyys	ˈpɑkːɑsenˌkestæʋyːs
pakkaslukema	ˈpɑkːɑsˌlukemɑ
pakkasyö	ˈpɑkːɑsˌyø̯
pakkaustarvike	ˈpɑkːɑusˌtɑrʋikeˣ
pakki	ˈpɑkːi
pakkokuolaimet	ˈpɑkːoˌkuo̯lɑi̯met
pakkoluovutus	ˈpɑkːoˌluo̯ʋutus
pakkorako	ˈpɑkːoˌrɑko
pakkotoimenpide	ˈpɑkːoˌtoi̯menˌpideˣ
pakoilla	ˈpɑkoi̯lːɑˣ
pakolinna	ˈpɑkoˌlinːɑ
pakostakin	ˈpɑkostɑkin
pakovesi	ˈpɑkoˌʋesi
paksunema	ˈpɑksunemɑ
paksupäinen	ˈpɑksuˌpæi̯nen
paku	ˈpɑku
palamisreaktio	ˈpɑlɑmisˌreɑktio
palataali	ˈpɑlɑtɑːli
palatalisoitu	ˈpɑlɑtɑlisoi̯tu
palaute	ˈpɑlɑu̯teˣ
palautuskaava	ˈpɑlɑu̯tusˌkɑːʋɑ
palaveerata	ˈpɑlɑʋeːrɑtɑˣ
paleltumisvamma	ˈpɑleltumisˌʋɑmːɑ
paleoekologia	ˈpɑleoˌekoloɡiɑ
palhoaminen	ˈpɑlhoɑminen
paljas pinta	ˈpɑljɑs ˈpintɑ
paljastuminen	ˈpɑljɑstuminen
paljinsolki	ˈpɑljinˌsolki
palkanalennus	ˈpɑlkɑnˌɑlenːus
palkannauttija	ˈpɑlkɑnˌnɑu̯tːijɑ
palkinnonsaaja	ˈpɑlkinːonˌsɑːjɑ
palkintomitali	ˈpɑlkintoˌmitɑl(ː)i
palkka-armeija	ˈpɑlkːɑˌ(ʔ)ɑrmei̯jɑ
palkkaindeksi	ˈpɑlkːɑˌindeksi
palkkakustannukset	ˈpɑlkːɑˌkustɑnːukset
palkkaperuste	ˈpɑlkːɑˌperusteˣ
palkkataso	ˈpɑlkːɑˌtɑso
palkkautua	ˈpɑlkːɑu̯tuɑˣ
palkohedelmä	ˈpɑlkoˌhedelmæ
palli	ˈpɑlːi
pallohiili	ˈpɑlːoˌhiːli
pallokolmio	ˈpɑlːoˌkolmio
pallonheitto	ˈpɑlːonˌhei̯tːo
palloperuna	ˈpɑlːoˌperunɑ
pallosektori	ˈpɑlːoˌsektori
palloventtiili	ˈpɑlːoˌʋentːiːli
palmikoiminen	ˈpɑlmikoi̯minen
palmuranta	ˈpɑlmuˌrɑntɑ
paloesimies	ˈpɑloˌesiˌmie̯s
palokalusto	ˈpɑloˌkɑlusto
palokuntalainen	ˈpɑloˌkuntɑlɑi̯nen
palomiehistö	ˈpɑloˌmie̯histø
palonsuoja-aine	ˈpɑlonˌsuo̯jɑˌ(ʔ)ɑi̯neˣ
palosuoja-aine	ˈpɑloˌsuo̯jɑˌ(ʔ)ɑi̯neˣ
paloturvallinen	ˈpɑloˌturʋɑlːinen
palpoiminen	ˈpɑlpoi̯minen
palstantäyte	ˈpɑlstɑnˌtæy̯teˣ
paluu	ˈpɑluː
paluurahti	ˈpɑluːˌrɑhti
palvella	ˈpɑlʋelːɑˣ
palvelukanava	ˈpɑlʋeluˌkɑnɑʋɑ
palvelumyymälä	ˈpɑlʋeluˌmyːmælæ
palvelupuhelin	ˈpɑlʋeluˌpuhelin
palvelusrikos	ˈpɑlʋelusˌrikos
palvelutyyppi	ˈpɑlʋeluˌtyːpːi
palvimakkara	ˈpɑlʋiˌmɑkːɑrɑ
pamauttaminen	ˈpɑmɑutːɑminen
panarabialainen	ˈpɑnˌɑrɑbiɑlɑi̯nen
paneli	ˈpɑneli
paneutua	ˈpɑneu̯tuɑˣ
paniini	ˈpɑniːni
pankkiala	ˈpɑŋkːiˌɑlɑ
pankkineiti	ˈpɑŋkːiˌnei̯ti
pankkitarkastus	ˈpɑŋkːiˌtɑrkɑstus
pankko	ˈpɑŋkːo
pannoittaa	ˈpɑnːoi̯tːɑːˣ
pannunmyssy	ˈpɑnːunˌmysːy
panos	ˈpɑnos
panssariase	ˈpɑnsːɑriˌɑseˣ
panssarimaali	ˈpɑnsːɑriˌmɑːli
panssarisiimalevä	ˈpɑnsːɑriˌsiːmɑˌleʋæ
pantata	ˈpɑntɑtɑˣ
panttaus	ˈpɑntːɑus
panttivankidraama	ˈpɑntːiˌʋɑŋkiˌdrɑːmɑ
paperi	ˈpɑperi
paperikauppa	ˈpɑperiˌkɑu̯pːɑ
paperilaji	ˈpɑperiˌlɑji
paperilyhty	ˈpɑperiˌlyhty
paperinpalanen	ˈpɑperinˌpɑlɑnen
paperipuu	ˈpɑperiˌpuː
paperisäkki	ˈpɑperiˌsækːi
paperiveitsi	ˈpɑperiˌʋei̯tsi
papinpuku	ˈpɑpinˌpuku
paprikasumutin	ˈpɑprikɑˌsumutin
para	ˈpɑrɑ
paraatipelastus	ˈpɑrɑːtiˌpelɑstus
parafraasi	ˈpɑrɑˌfrɑːsi
paraillaan	ˈpɑrɑi̯lːɑːn
paralleeli	ˈpɑrɑlːeːli
parannuksentekijä	ˈpɑrɑnːuksenˌtekijæ
paranoidisesti	ˈpɑrɑnoi̯disestiˣ
parantumattomuus	ˈpɑrɑntumɑtːomuːs
parataktinen	ˈpɑrɑtɑktinen
parayleisurheilu	ˈpɑrɑˌylei̯sˌurhei̯lu
parenkyymi	ˈpɑreŋkyːmi
pariairokaksikko	ˈpɑriˌɑi̯roˌkɑksikːo
parijakoinen	ˈpɑriˌjɑkoi̯nen
parilehdykkäinen	ˈpɑriˌlehdykːæi̯nen
parinvaihtotanssi	ˈpɑrinˌʋɑi̯htoˌtɑnsːi
parisatainen	ˈpɑriˌsɑtɑi̯nen
parisuhdeaika	ˈpɑriˌsuhdeˣˌɑi̯kɑ
parittaminen	ˈpɑritːɑminen
pariutua	ˈpɑriu̯tuɑˣ
parjata	ˈpɑrjɑtɑˣ
parkitseminen	ˈpɑrkitseminen
parkkialue	ˈpɑrkːiˌɑlueˣ
parkkivalo	ˈpɑrkːiˌʋɑlo
parlamentarisoida	ˈpɑrlɑmentɑrisoi̯dɑˣ
parodioida	ˈpɑrodioi̯dɑˣ
parrantynkä	ˈpɑrːɑnˌtyŋkæ
parseli	ˈpɑrseli
partahaiven	ˈpɑrtɑˌhɑi̯ʋen
partasuti	ˈpɑrtɑˌsuti
partiojohtaja	ˈpɑrtioˌjohtɑjɑ
partioretki	ˈpɑrtioˌretki
parturinsakset	ˈpɑrturinˌsɑkset
parvekelaatikko	ˈpɑrʋekeˣˌlɑːtikːo
parvilintu	ˈpɑrʋiˌlintu
paska	ˈpɑskɑ
passaaminen	ˈpɑsːɑːminen
passiivinen	ˈpɑsːiːʋinen
passionhedelmä	ˈpɑsːionˌhedelmæ
pastajuotos	ˈpɑstɑˌjuo̯tos
pastellinsävyinen	ˈpɑstelːinˌsæʋyi̯nen
pastoraalinen	ˈpɑstorɑːlinen
pasuri	ˈpɑsuri
patalaiska	ˈpɑtɑˌlɑi̯skɑ
patavanhoillinen	ˈpɑtɑˌʋɑnhoi̯lːinen
patentoiminen	ˈpɑtentoi̯minen
patenttineuvos	ˈpɑtentːiˌneu̯ʋos
patikka	ˈpɑtikːɑ
patjakasvi	ˈpɑtjɑˌkɑsʋi
patokalastus	ˈpɑtoˌkɑlɑstus
patriarkaalinen	ˈpɑtriˌɑrkɑːlinen
patruunalipas	ˈpɑtruːnɑˌlipɑs
patti	ˈpɑtːi
patvi	ˈpɑtʋi
paukkua	ˈpɑu̯kːuɑˣ
paula	ˈpɑu̯lɑ
paviaani	ˈpɑʋiɑːni
pedersöreläinen	ˈpe(ː)dersø(ː)relæi̯nen
peevelisti	ˈpeːʋelistiˣ
pehmentää	ˈpehmentæːˣ
pehmeäpiirteinen	ˈpehmeæˌpiːrtei̯nen
pehmite	ˈpehmiteˣ
pehmoilla	ˈpehmoi̯lːɑˣ
pehmustaminen	ˈpehmustɑminen
pehtori	ˈpehtori
peilausmatriisi	ˈpei̯lɑusˌmɑtriːsi
peilinkehys	ˈpei̯linˌkehys
peippi	ˈpei̯pːi
peitepuikko	ˈpei̯teˣˌpui̯kːo
peitinkarva	ˈpei̯tinˌkɑrʋɑ
peittaväri	ˈpei̯tːɑˌʋæri
peittäytyä	ˈpei̯tːæy̯tyæˣ
pekonimakkara	ˈpekoniˌmɑkːɑrɑ
pelastuskalusto	ˈpelɑstusˌkɑlusto
pelastusyksikkö	ˈpelɑstusˌyksikːø
pelierä	ˈpeliˌeræ
pelikatko	ˈpeliˌkɑtko
pelimies	ˈpeliˌmie̯s
pelipöytä	ˈpeliˌpøy̯tæ
peliteoreetikko	ˈpeliˌteoreːtikːo
peliäly	ˈpeliˌæly
pelkkä	ˈpelkːæ
pelkääjänpuoleinen	ˈpelkæːjænˌpuo̯lei̯nen
pellavaliina	ˈpelːɑʋɑˌliːnɑ
pellavaöljyhappo	ˈpelːɑʋɑˌøljyˌhɑpːo
pelletöinti	ˈpelːetøi̯nti
pellonvaraus	ˈpelːonˌʋɑrɑus
pelonsekainen	ˈpelonˌsekɑi̯nen
pelottelu	ˈpelotːelu
peltikatto	ˈpeltiˌkɑtːo
peltirasia	ˈpeltiˌrɑsiɑ
peltivaurio	ˈpeltiˌʋɑu̯rio
peltoetana	ˈpeltoˌetɑnɑ
peltotaskuruoho	ˈpeltoˌtɑskuˌruo̯ho
peluriluonne	ˈpeluriˌluo̯nːeˣ
pemfigoidi	ˈpemfiɡoi̯di
pengertäminen	ˈpeŋːertæminen
penikuorma	ˈpeniˌkuo̯rmɑ
penkereisyys	ˈpeŋkerei̯syːs
penkkirivi	ˈpeŋkːiˌriʋi
pensaskoira	ˈpensɑsˌkoi̯rɑ
pensastua	ˈpensɑstuɑˣ
pentaedri	ˈpentɑedri
pentukoira	ˈpentuˌkoi̯rɑ
pepperoni	ˈpepːeroni
perehdyttää	ˈperehdytːæːˣ
peremmältä	ˈperemːæltæ
performanssitaiteilija	ˈperformɑnsːiˌtɑi̯tei̯lijɑ
perhe-eläke	ˈperheˣˌelækeˣ
perheenisä	ˈperheːnˌisæ
